# ----------------------------------------
# 1 Master View
# Audience Overview
# 20170101-20180228
# ----------------------------------------

Day Index,Date Range,Segment,Sessions,Avg. Session Duration
3/19/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,903",00:02:29
3/19/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,87,00:14:34
3/20/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,650",00:02:53
3/20/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,241,00:08:38
3/21/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,845",00:02:55
3/21/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,186,00:07:54
3/22/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,762",00:02:39
3/22/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,181,00:09:25
3/23/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"3,059",00:02:25
3/23/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,160,00:09:16
3/24/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,541",00:02:50
3/24/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,173,00:08:53
3/25/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,813",00:02:18
3/25/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,73,00:09:34
3/26/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,911",00:02:45
3/26/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,99,00:10:17
3/27/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,766",00:02:37
3/27/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,231,00:08:00
3/28/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,801",00:02:47
3/28/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,205,00:08:17
3/29/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,735",00:02:40
3/29/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,201,00:09:17
3/30/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,903",00:02:35
3/30/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,152,00:09:10
3/31/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,451",00:02:25
3/31/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,127,00:08:51
4/1/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,278",00:02:08
4/1/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,59,00:08:43
4/2/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,005",00:02:21
4/2/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,64,00:08:07
4/3/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,592",00:02:45
4/3/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,158,00:09:00
,"Jan 1, 2017 - Apr 3, 2017",All Users,"222,683",00:02:41
,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,"16,843",00:08:01
