--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1950 a 01/08/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83714;23/04/1961;0000;;16.2;;0;0.6;13.48;95.5;2.333333;
83714;23/04/1961;1200;0;;7.6;;;;;;
83714;24/04/1961;0000;;22.2;;8.9;0.5;16.98;88.75;2.333333;
83714;24/04/1961;1200;0.8;;11.9;;;;;;
83714;25/04/1961;0000;;19.8;;1.2;1.4;15.24;96.75;2.333333;
83714;25/04/1961;1200;5.8;;9.9;;;;;;
83714;26/04/1961;0000;;15.1;;0.2;0.2;12.54;99.5;1.333333;
83714;26/04/1961;1200;64.8;;11;;;;;;
83714;27/04/1961;0000;;19.8;;8.6;1.2;11.38;88;0.666667;
83714;27/04/1961;1200;13.8;;5.2;;;;;;
83714;28/04/1961;0000;;20.2;;5.9;1.2;11.2;85.5;2.333333;
83714;28/04/1961;1200;0;;2.6;;;;;;
83714;29/04/1961;0000;;21;;8.9;2.3;12;84.5;1.666667;
83714;29/04/1961;1200;0;;2.8;;;;;;
83714;30/04/1961;0000;;21.6;;9.4;1.7;12.96;82.5;1.666667;
83714;30/04/1961;1200;0;;3.9;;;;;;
83714;01/05/1961;0000;;21.4;;8.3;2.1;13.04;87.75;0.666667;
83714;01/05/1961;1200;0;;4.2;;;;;;
83714;02/05/1961;0000;;21.8;;8.8;2;14.32;84.75;1.333333;
83714;02/05/1961;1200;0;;7;;;;;;
83714;03/05/1961;0000;;20.3;;1.4;2.2;14.72;89;3.666667;
83714;03/05/1961;1200;0;;10.7;;;;;;
83714;04/05/1961;0000;;15.2;;4;1;12.14;99;2.333333;
83714;04/05/1961;1200;28.9;;9.6;;;;;;
83714;05/05/1961;0000;;17.2;;0;0.2;13.24;94.75;1.666667;
83714;05/05/1961;1200;6;;9.4;;;;;;
83714;06/05/1961;0000;;18.5;;9;0.7;12.6;85.5;1.333333;
83714;06/05/1961;1200;0;;9.1;;;;;;
83714;07/05/1961;0000;;21.5;;9.3;1.9;12.58;89.25;1.333333;
83714;07/05/1961;1200;0;;4.1;;;;;;
83714;08/05/1961;0000;;20.8;;5.6;2.3;14.68;87.5;2;
83714;08/05/1961;1200;;;5.8;;;;;;
83714;09/05/1961;0000;;22;;0;1.7;15.68;97.5;0.666667;
83714;09/05/1961;1200;0.9;;13.4;;;;;;
83714;10/05/1961;0000;;18.4;;2.1;0.3;14.42;97.25;2.333333;
83714;10/05/1961;1200;0.9;;12;;;;;;
83714;11/05/1961;0000;;19.5;;7.7;1.2;14.12;90.25;1.333333;
83714;11/05/1961;1200;0;;10;;;;;;
