Position;Track Name;Artist;Streams;URL
41;Bebida Na Ferida - Ao Vivo;Zé Neto & Cristiano;166055;https://open.spotify.com/track/3HEb6Y5dv8PgD6JgsIQNac
42;Pega a Receita;Mc Dede;163124;https://open.spotify.com/track/0nlFCC2xIQqUJpuQIVPl7S
43;Quem É Que Chora por Mim?;Leonardo;160071;https://open.spotify.com/track/4TlOLjhHZjoVGF0qbQc996
44;Pra Inveja É Tchau;Mc Kevin;153212;https://open.spotify.com/track/4cnNrOojGyU6J3OXqVTPIg
45;Olha Ela Aí;Eduardo Costa;151643;https://open.spotify.com/track/7rTkKmS5LbQ0vwv7jgEGbY
46;Largado As Traças - Acústico;Zé Neto & Cristiano;149619;https://open.spotify.com/track/74gguwbBvfBTurNJUWFOsC
47;Fica Tudo Bem;Silva;147281;https://open.spotify.com/track/3gvqZpohrsWFwGH1IoFK5b
48;Ausência - Ao Vivo | Acústico;Marília Mendonça;141085;https://open.spotify.com/track/37erXXnh4mlWE7mdO6EYOp
49;Cancela o Sentimento;Marcos & Belutti;140683;https://open.spotify.com/track/0PVjuxjgUJldBATilksYW2
50;God's Plan;Drake;139867;https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
51;De Trás Pra Frente - Ao Vivo;Henrique & Juliano;138686;https://open.spotify.com/track/2x67AU9q3lf7cfPSzxCDsL
52;One Kiss (with Dua Lipa);Calvin Harris;136160;https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
53;Já convenci - Ao vivo;Thiago Brava;135708;https://open.spotify.com/track/7xCe2DkTYlkfwhhGAU6FbO
54;Deixe Me Ir - Acústico;1Kilo;135676;https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
55;Das 9 às 6;Henrique & Diego;132568;https://open.spotify.com/track/3HxM4lAPdlTxdl60Ecn092
56;Bilhete 2.0;Rashid;129824;https://open.spotify.com/track/4eizL2CPEy9lFUZw7HBKrk
57;Juramento do Dedinho;Mano Walter;127313;https://open.spotify.com/track/0lCmp1Mws7I9K4a0OAgces
58;Girls Like You (feat. Cardi B);Maroon 5;127277;https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
59;Acabou Acabou (Quando Eu Digo Que Acabou) - Ao Vivo;Gabriel Diniz;123771;https://open.spotify.com/track/5hJJOWPZtBq15zVfWWM8lZ
60;Bonita, Lindinha e Sagaz;Mc Davi;123164;https://open.spotify.com/track/1R1HmdunvOnEK4bibKp7q5
61;Derreter a Aliança - Ao Vivo;Zé Neto & Cristiano;122559;https://open.spotify.com/track/2p8yzBihO2pDFXGPHS3Okh
62;3 Dias Virado;Mc IG;122165;https://open.spotify.com/track/4uD7ypL7pDmOiMiVX6TCCa
63;12 Horas;Dilsinho;116745;https://open.spotify.com/track/7B826fTyDa3DkjnKpOgXFo
64;Youngblood;5 Seconds of Summer;115154;https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
65;Estranho - Ao Vivo | Acústico;Marília Mendonça;111818;https://open.spotify.com/track/0rOYqGZFzJzVGcZyXrN3fO
66;Pra você acreditar - Ao vivo;Ferrugem;111288;https://open.spotify.com/track/5KNi9XFap48ry4puG7rvqv
67;Shape of You;Ed Sheeran;110420;https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
68;Believer;Imagine Dragons;109314;https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo
69;Você Não Vale Nada;Zé Felipe;106719;https://open.spotify.com/track/6EFIK4B0jrvLO096QYEhnX
70;SAD!;XXXTENTACION;106130;https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
71;X;Nicky Jam;105077;https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
72;Contrário;Jonas Esticado;103855;https://open.spotify.com/track/76NzI3TmJCAvw28nB3EGk2
73;Downtown;Anitta;103702;https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
74;Solo (feat. Demi Lovato);Clean Bandit;102964;https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
75;Dona Maria;Thiago Brava;102429;https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
76;rockstar (feat. 21 Savage);Post Malone;102129;https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
77;Devagarinho;Luísa Sonza;101144;https://open.spotify.com/track/0aZfIiaO3b2HTNxZ3sv1cg
78;I Like It;Cardi B;100781;https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
79;Raspão - Ao Vivo;Henrique & Diego;100483;https://open.spotify.com/track/6gquljDBW7rE6mCBzmTRxo
80;Ainda Sou Tão Seu - Ao Vivo;Felipe Araújo;100138;https://open.spotify.com/track/07PHNpknqZFw6N3GzNQWB8
81;no tears left to cry;Ariana Grande;98802;https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
82;Tem Café;Gaab;96935;https://open.spotify.com/track/4lNriuYNZD2YP2OPG6xOte
83;Fica - Bonus Track;ANAVITÓRIA;96647;https://open.spotify.com/track/1qDZnViQgUItsMpWLVwfGb
84;Transplante;Marília Mendonça;96627;https://open.spotify.com/track/6uyMtLQXZ8amkLyv5l7F7O
85;Pour Over;Vintage Culture;95170;https://open.spotify.com/track/574kOxVgCcy70oq623rvPE
86;Natural;Imagine Dragons;94578;https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
87;IDGAF;Dua Lipa;94530;https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
88;Better Now;Post Malone;92229;https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
89;Poesia Acústica #3: Capricorniana;Pineapple StormTv;91066;https://open.spotify.com/track/1YUWhlQjFv7MQpcbb77zTL
90;Menina Braba;Jerry Smith;90760;https://open.spotify.com/track/2caWIcrS6CLQDB5WglieeA
91;Armadura - Ao Vivo;Zé Neto & Cristiano;90672;https://open.spotify.com/track/202ZvROo781eRsyW3Pl9UN
92;X - Remix;Nicky Jam;88936;https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
